"status","bed","bath","acre_lot","city","state","zip_code","house_size","price"
"for_sale",3.70101265822784,2.49459473852367,6,"Wilton","New Hampshire",3086,2180.08173730064,495000
"for_sale",3.70101265822784,2.49459473852367,5,"Wilton","New Hampshire",3086,2180.08173730064,495000
"for_sale",3.70101265822784,2.49459473852367,1.62,"Bedford","New Hampshire",3110,2180.08173730064,351900
"for_sale",3.70101265822784,2.49459473852367,1.07,"Bedford","New Hampshire",3110,2180.08173730064,285900
"for_sale",3.70101265822784,2.49459473852367,1.25,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,1.29,"Londonderry","New Hampshire",3053,2180.08173730064,349900
"for_sale",3.70101265822784,2.49459473852367,1.3,"Bedford","New Hampshire",3110,2180.08173730064,285900
"for_sale",3.70101265822784,2.49459473852367,1.01,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,0.98,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,0.39,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,0.97,"Bedford","New Hampshire",3110,2180.08173730064,285900
"for_sale",3.70101265822784,2.49459473852367,1.48,"Bedford","New Hampshire",3110,2180.08173730064,263900
"for_sale",3.70101265822784,2.49459473852367,1.48,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,1.23,"Bedford","New Hampshire",3110,2180.08173730064,263900
"for_sale",3.70101265822784,2.49459473852367,1.02,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,1.18,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,1.68,"Bedford","New Hampshire",3110,2180.08173730064,263900
"for_sale",3.70101265822784,2.49459473852367,1.27,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,0.79,"Bedford","New Hampshire",3110,2180.08173730064,274900
"for_sale",3.70101265822784,2.49459473852367,68.92,"Bolton","Massachusetts",1740,2180.08173730064,2990000
"for_sale",3.70101265822784,2.49459473852367,45.79,"Londonderry","New Hampshire",3053,2180.08173730064,5250000
